%%-*- text -*-
%
%  -- Topic: This is the defect prediction data for Eclipse 3.4 SWT, which
%            includes size, complexity, object-oriented metrics, and change metric data.
% 
%  -- Date:  June 2010

@relation 'eclipse34_swt'

@attribute LOC numeric
@attribute AverageComplexity numeric
@attribute MaximumComplexity numeric
@attribute LCOM numeric
@attribute DIT numeric
@attribute IFANIN numeric
@attribute CBO numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute NIM numeric
@attribute NIV numeric
@attribute NCM numeric
@attribute NCV numeric
@attribute WMC numeric
@attribute change_times numeric
@attribute plus numeric
@attribute minus numeric
@attribute isDefective {TRUE,FALSE}

@data
26,1,1,0,5,1,1,3,645,8,0,0,0,8,6,102,100,TRUE
95,1,1,0,3,1,5,0,299,19,0,7,0,26,6,327,285,TRUE
22,1,1,0,6,1,3,0,465,6,0,0,0,6,6,74,84,TRUE
31,1,1,0,4,1,4,0,386,9,0,0,0,9,6,114,124,TRUE
20,1,1,0,3,1,2,0,278,4,0,1,0,5,7,71,81,TRUE
64,1,1,0,3,1,3,0,291,14,0,4,0,18,7,182,192,TRUE
126,1,1,0,7,1,6,1,737,38,0,0,0,38,7,453,370,TRUE
50,1,1,0,3,1,6,2,288,13,0,2,0,15,6,148,158,TRUE
26,1,1,0,3,1,3,3,280,6,0,1,0,7,6,84,94,TRUE
38,1,1,0,3,1,4,2,283,6,0,4,0,10,6,114,124,TRUE
63,1,1,0,3,1,3,0,290,17,0,0,0,17,6,186,196,TRUE
149,1,1,0,3,1,7,0,317,39,0,5,0,44,6,403,413,TRUE
75,1,1,0,3,1,7,0,295,21,0,1,0,22,6,212,222,TRUE
19,1,1,0,3,1,2,0,278,2,0,3,0,5,6,66,76,TRUE
29,1,1,0,3,1,4,2,281,7,0,1,0,8,6,116,126,TRUE
11,1,1,0,4,1,1,0,303,3,0,0,0,3,6,46,56,TRUE
26,1,1,0,4,1,3,0,305,7,0,0,0,7,6,84,94,TRUE
21,1,1,0,3,1,3,0,279,6,0,0,0,6,6,72,82,TRUE
147,1,1,0,6,1,6,1,702,44,0,0,0,44,6,400,410,TRUE
110,1,1,0,5,1,7,0,626,33,0,1,0,34,7,306,316,TRUE
137,1,1,0,6,1,5,1,686,40,0,1,0,41,6,374,384,TRUE
43,1,1,0,3,1,4,0,284,8,0,3,0,11,7,137,147,TRUE
33,1,1,0,3,1,1,0,282,8,0,1,0,9,6,102,112,TRUE
62,1,1,0,3,1,8,0,290,15,0,2,0,17,6,176,186,TRUE
79,1,1,0,6,1,4,1,683,23,0,2,0,25,6,226,236,TRUE
22,1,1,0,7,1,3,1,696,6,0,0,0,6,6,74,84,TRUE
14,1,1,0,6,1,1,0,463,4,0,0,0,4,6,54,64,TRUE
74,1,1,0,6,1,4,0,681,23,0,0,0,23,6,212,222,TRUE
15,1,1,0,4,1,2,0,304,4,0,0,0,4,6,54,64,TRUE
10,0,0,0,2,1,0,0,0,0,2,0,1,0,10,63,81,TRUE
123,1,1,0,5,1,6,0,478,36,0,1,0,37,6,336,346,TRUE
33,1,1,0,3,1,2,0,282,9,0,0,0,9,7,105,115,TRUE
12,1,1,0,4,1,2,0,279,3,0,0,0,3,6,46,56,TRUE
94,1,1,0,3,1,5,0,301,24,0,4,0,28,6,260,270,TRUE
24,1,1,0,3,1,2,0,280,7,0,0,0,7,6,78,88,TRUE
25,1,1,0,3,1,2,0,280,6,0,1,0,7,6,91,97,TRUE
38,1,1,0,5,1,1,0,453,12,0,0,0,12,6,116,126,TRUE
3,0,0,0,1,1,0,0,0,0,1,0,0,0,6,20,30,TRUE
16,1,1,0,6,1,3,0,463,4,0,0,0,4,6,61,75,TRUE
88,1,1,0,3,1,4,0,299,25,0,1,0,26,7,249,259,TRUE
26,1,1,0,3,1,2,0,280,7,0,0,0,7,6,82,92,TRUE
66,1,1,0,3,1,6,0,292,19,0,0,0,19,7,188,198,TRUE
62,1,1,0,5,1,6,6,459,18,0,0,0,18,6,239,192,TRUE
28,1,1,0,4,1,2,0,303,8,0,0,0,8,6,90,100,TRUE
86,1,1,0,3,1,5,0,299,15,0,11,0,26,7,245,255,TRUE
111,1,1,0,3,1,7,0,303,19,0,11,0,30,6,300,310,TRUE
41,1,1,0,6,1,2,0,471,10,0,2,0,12,6,124,134,TRUE
15,1,1,0,4,1,2,0,312,4,0,0,0,4,6,56,66,TRUE
156,1,1,0,5,1,5,0,357,47,0,0,0,47,6,424,434,TRUE
219,1,1,0,3,1,13,1,336,59,0,4,0,63,6,582,592,TRUE
106,1,1,0,3,1,3,0,305,32,0,0,0,32,6,294,304,TRUE
39,1,1,0,3,1,5,0,284,8,0,3,0,11,6,118,128,TRUE
33,1,1,0,3,1,4,0,282,8,0,1,0,9,6,102,112,TRUE
88,1,1,0,3,1,4,0,299,22,0,4,0,26,6,246,256,TRUE
56,1,1,0,3,1,5,0,289,8,0,8,0,16,6,162,172,TRUE
31,1,1,0,3,1,3,1,281,8,0,0,0,8,6,96,106,TRUE
53,1,1,0,4,1,4,0,402,15,0,0,0,15,6,154,164,TRUE
155,1,1,0,3,1,10,0,319,45,0,1,0,46,6,420,430,TRUE
42,1,1,0,4,1,2,0,337,12,0,0,0,12,6,126,136,TRUE
198,1,1,0,3,1,6,4,325,36,0,16,0,52,6,518,528,TRUE
8,1,1,0,3,1,0,0,275,2,0,0,0,2,3,0,31,TRUE
2,0,0,0,5,1,0,0,637,0,0,0,0,0,3,3,15,TRUE
11,1,1,0,3,1,2,0,276,3,0,0,0,3,4,27,37,TRUE
383,1,1,0,5,1,12,0,710,110,0,8,0,118,4,680,608,TRUE
32,4,4,0,1,1,0,0,2,2,3,0,0,2,8,76,88,TRUE
7,1,1,100,2,1,1,0,4,0,0,4,1,4,3,6,35,TRUE
5,0,0,0,1,1,1,0,0,0,2,0,1,0,3,1,18,TRUE
13,0,0,0,1,1,3,0,0,0,10,0,1,0,3,1,26,TRUE
13,0,0,0,1,1,1,0,0,0,10,0,1,0,3,1,26,TRUE
89,1,3,61,1,1,3,0,16,16,5,0,0,16,32,719,792,TRUE
146,5,28,83,1,1,3,0,9,9,23,0,17,9,55,1090,1479,TRUE
29,1,4,66,1,1,2,0,5,5,3,0,0,5,31,187,284,TRUE
301,2,11,76,1,1,19,0,26,26,3,0,0,26,36,792,862,TRUE
896,4,29,88,9,1,41,0,592,39,16,0,5,39,159,3327,3764,TRUE
10,2,2,66,4,1,1,0,28,1,0,0,3,1,9,85,58,TRUE
100,2,7,69,2,1,15,0,12,5,5,1,1,6,11,93,215,TRUE
59,2,7,0,1,1,21,0,7,0,0,7,0,7,21,226,321,TRUE
22,1,2,50,5,2,4,1,43,3,2,0,0,3,12,8,33,TRUE
61,1,2,56,1,1,6,0,6,6,5,0,0,6,9,5,5,TRUE
117,1,1,33,1,1,8,0,3,3,4,0,0,3,15,50,121,TRUE
25,1,2,19,5,1,3,0,40,5,1,0,0,5,2,1,1,TRUE
22,1,1,0,4,1,1,0,60,6,1,0,0,6,2,1,1,TRUE
28,1,3,19,5,1,3,0,40,5,1,0,0,5,2,2,2,TRUE
45,2,7,0,1,1,20,0,5,0,0,5,0,5,1,0,0,TRUE
2340,2,13,96,1,1,21,0,38,2,2,36,9,38,7,214,314,TRUE
10,1,1,0,1,2,1,41,4,4,0,0,0,4,18,241,296,TRUE
24,1,1,60,2,1,1,0,5,2,9,0,1,2,24,149,159,TRUE
358,2,20,93,1,1,23,0,17,5,7,12,52,17,37,542,818,TRUE
6,1,1,0,1,2,1,2,2,2,0,0,0,2,7,13,14,TRUE
301,1,6,91,1,1,25,0,30,30,9,0,0,30,35,1183,1238,TRUE
70,1,4,66,1,1,7,0,9,9,3,0,0,9,22,294,303,TRUE
17,1,1,62,3,1,1,0,9,2,3,0,1,2,20,37,73,TRUE
259,4,8,0,2,1,16,0,16,6,0,0,0,6,38,145,609,TRUE
13,1,1,75,3,1,1,0,9,2,1,0,1,2,17,26,55,TRUE
128,2,6,77,6,1,7,0,494,8,5,1,3,9,26,429,314,TRUE
81,4,10,68,1,1,4,0,7,7,5,0,0,7,7,11,146,TRUE
7,1,1,0,1,2,1,2,5,5,0,0,0,5,10,26,50,TRUE
23,1,1,57,3,1,1,0,9,2,6,0,1,2,32,122,118,TRUE
12,1,1,25,3,1,2,0,8,1,3,0,1,1,20,86,81,TRUE
22,1,1,11,3,1,5,0,8,1,8,0,1,1,7,21,26,TRUE
45,0,0,0,1,1,0,0,0,0,0,0,43,0,30,258,286,TRUE
1477,8,76,89,1,1,26,0,46,46,28,0,11,46,122,2984,3535,TRUE
443,4,18,81,6,1,15,0,506,21,9,0,2,21,59,1388,1823,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,21,96,68,TRUE
158,2,11,70,2,1,10,0,19,12,6,0,1,12,38,558,551,TRUE
211,2,6,89,5,1,10,3,484,18,18,1,6,19,56,2223,1717,TRUE
63,5,9,87,1,1,3,0,2,0,0,2,33,2,36,597,522,TRUE
10,1,2,0,2,1,2,3,5,2,1,0,0,2,5,2,97,TRUE
5,1,1,0,1,1,1,11,3,3,0,0,0,3,20,200,136,TRUE
8,1,1,0,1,2,1,10,6,6,0,0,0,6,21,153,157,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,58,67,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,60,69,TRUE
6,1,1,100,4,1,1,0,10,1,0,0,1,1,5,2,41,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,59,68,TRUE
23,1,1,19,3,1,1,2,9,2,4,0,1,2,26,134,171,TRUE
20,1,1,25,3,1,1,0,9,2,3,0,1,2,4,1,77,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,59,68,TRUE
6,1,1,0,1,2,1,1186,2,2,0,0,0,2,14,63,70,TRUE
12,1,1,0,1,2,1,18,5,5,0,0,0,5,14,90,97,TRUE
14,1,1,50,4,1,1,0,11,2,1,0,1,2,31,223,313,TRUE
6,1,1,100,4,1,1,0,10,1,0,0,1,1,16,59,68,TRUE
622,9,31,19,14,1,28,0,147,13,1,7,0,20,183,2508,2971,TRUE
321,5,28,48,7,1,3,0,64,8,6,8,0,16,146,1041,1467,TRUE
81,2,5,83,1,1,6,0,10,10,6,0,0,10,35,377,415,TRUE
4,0,0,0,1,1,0,0,0,0,2,0,0,0,8,4,5,TRUE
21,1,3,33,1,2,0,0,4,4,2,0,1,4,24,131,146,TRUE
106,3,10,25,1,2,1,0,6,6,3,0,1,6,26,150,268,TRUE
12,1,1,0,3,1,2,0,276,3,0,0,0,3,7,51,61,TRUE
8,1,1,50,1,1,0,1,2,2,1,0,0,2,6,36,58,TRUE
64,1,1,0,3,1,4,0,291,17,0,1,0,18,12,222,237,TRUE
101,1,1,0,3,1,8,0,302,27,0,2,0,29,6,278,288,TRUE
24,1,1,0,3,1,1,0,280,4,0,3,0,7,6,80,90,TRUE
34,1,1,0,3,1,4,0,282,9,0,0,0,9,7,106,116,TRUE
39,1,1,0,3,1,4,0,284,9,0,2,0,11,7,118,128,TRUE
156,1,1,0,5,1,4,1,359,49,0,0,0,49,6,428,438,TRUE
17,1,1,0,4,1,2,0,340,3,0,1,0,4,6,60,70,TRUE
50,1,1,0,3,1,1,0,289,4,0,12,0,16,7,158,168,TRUE
52,1,1,0,4,1,4,0,433,13,0,2,0,15,6,205,166,TRUE
133,1,1,0,6,1,6,2,699,41,0,0,0,41,12,387,397,TRUE
25,1,1,0,4,1,4,0,319,6,0,0,0,6,7,82,92,TRUE
34,1,1,0,3,1,3,1,282,6,0,3,0,9,6,104,114,TRUE
15,1,1,0,4,1,2,0,304,4,0,0,0,4,6,56,66,TRUE
196,1,1,0,3,1,6,4,332,59,0,0,0,59,6,768,541,TRUE
71,1,1,0,6,1,5,0,667,17,0,5,0,22,6,204,214,TRUE
72,1,1,0,3,1,3,0,292,11,0,8,0,19,7,281,219,TRUE
119,1,1,0,7,1,3,1,727,37,0,0,0,37,7,442,355,TRUE
44,1,1,0,4,1,2,0,295,10,0,2,0,12,7,132,142,TRUE
209,1,1,0,5,1,8,15,658,64,0,2,0,66,10,795,608,TRUE
25,1,1,0,5,1,2,0,327,7,0,0,0,7,7,92,102,TRUE
120,1,1,0,3,1,5,0,306,15,0,18,0,33,8,444,382,TRUE
251,1,1,0,4,1,7,0,354,71,0,2,0,73,7,669,679,TRUE
101,1,1,0,5,1,6,0,471,30,0,0,0,30,6,280,290,TRUE
137,1,1,0,5,1,3,0,380,24,0,11,0,35,6,362,372,TRUE
15,1,1,0,4,1,2,0,304,4,0,0,0,4,6,56,66,TRUE
54,1,1,0,6,1,4,0,374,15,0,0,0,15,6,156,166,TRUE
23,1,1,0,3,1,4,0,279,6,0,0,0,6,6,76,86,TRUE
43,1,1,0,4,1,3,0,295,11,0,2,0,13,7,132,142,TRUE
349,1,1,0,3,1,19,1,377,101,0,3,0,104,8,937,947,TRUE
99,1,1,0,4,1,4,0,416,29,0,0,0,29,7,274,284,TRUE
41,1,1,0,3,1,4,0,284,8,0,3,0,11,6,120,130,TRUE
104,1,1,0,3,1,4,0,303,23,0,7,0,30,6,284,294,TRUE
113,1,1,0,3,1,5,0,304,31,0,0,0,31,6,304,314,TRUE
78,1,1,0,3,1,6,0,293,17,0,3,0,20,6,212,222,TRUE
70,1,1,0,5,1,5,0,462,21,0,0,0,21,7,203,213,TRUE
15,1,1,0,3,1,1,0,277,3,0,1,0,4,6,54,64,TRUE
56,1,1,0,3,1,7,0,289,16,0,0,0,16,9,230,195,TRUE
66,1,1,0,3,1,6,0,290,14,0,3,0,17,6,264,205,TRUE
19,1,1,0,4,1,3,0,286,4,0,1,0,5,6,64,74,TRUE
26,1,1,0,4,1,1,0,426,8,0,0,0,8,6,84,94,TRUE
18,1,1,0,4,1,3,0,303,5,0,0,0,5,6,62,72,TRUE
12,1,1,0,3,1,2,0,276,3,0,0,0,3,6,46,56,TRUE
53,1,1,0,3,1,2,0,289,15,0,1,0,16,6,154,164,TRUE
76,1,1,0,4,1,4,0,355,19,0,4,0,23,6,300,230,TRUE
72,1,1,0,3,1,4,0,291,6,0,12,0,18,6,196,206,TRUE
20,1,1,0,4,1,2,0,281,5,0,0,0,5,6,66,76,TRUE
33,1,1,0,4,1,3,0,297,7,0,2,0,9,6,100,110,TRUE
72,1,1,0,3,1,4,0,292,14,0,5,0,19,6,198,208,TRUE
190,1,1,0,3,1,6,1,330,54,0,3,0,57,8,712,553,TRUE
143,1,1,0,5,1,9,0,635,42,0,1,0,43,8,395,405,TRUE
20,1,1,0,3,1,4,0,278,5,0,0,0,5,6,66,76,TRUE
19,1,1,0,3,1,2,0,278,5,0,0,0,5,6,64,74,TRUE
121,1,1,0,5,1,4,0,630,38,0,0,0,38,6,334,344,TRUE
48,1,1,0,4,1,5,1,307,15,0,0,0,15,7,185,167,TRUE
51,1,1,0,4,1,2,0,321,13,0,2,0,15,7,152,162,TRUE
19,1,1,0,4,1,3,0,303,5,0,0,0,5,6,64,74,TRUE
36,1,1,0,3,1,3,0,284,11,0,0,0,11,7,115,125,TRUE
35,1,1,0,3,1,2,1,283,10,0,0,0,10,6,106,116,TRUE
25,1,1,0,3,1,4,0,280,6,0,1,0,7,6,80,90,TRUE
192,1,1,0,4,1,3,1,345,37,0,15,0,52,6,719,533,TRUE
81,1,1,0,3,1,4,0,298,23,0,2,0,25,7,310,245,TRUE
48,1,1,0,3,1,2,1,288,15,0,0,0,15,7,147,157,TRUE
91,1,1,0,7,1,3,1,804,28,0,0,0,28,6,330,284,TRUE
48,1,1,0,3,1,6,0,287,13,0,1,0,14,6,140,150,TRUE
75,1,1,0,3,1,3,1,296,21,0,2,0,23,6,299,229,TRUE
34,1,1,0,4,1,3,0,322,8,0,1,0,9,7,104,114,TRUE
25,1,1,0,4,1,3,0,319,5,0,1,0,6,7,80,90,TRUE
10,0,0,0,2,1,0,0,0,0,2,0,1,0,9,51,79,TRUE
22,1,1,0,3,1,1,0,279,5,0,1,0,6,7,90,100,TRUE
33,1,1,0,3,1,4,0,282,9,0,0,0,9,7,102,112,TRUE
39,1,1,0,3,1,4,0,284,11,0,0,0,11,7,118,128,TRUE
15,1,1,0,7,1,2,0,706,4,0,0,0,4,6,56,66,TRUE
110,1,1,0,3,1,6,0,302,24,0,5,0,29,6,296,306,TRUE
89,1,1,0,5,1,1,1,621,29,0,0,0,29,7,270,280,TRUE
12,1,1,0,4,1,1,0,284,3,0,0,0,3,6,76,86,TRUE
11,1,1,0,5,1,1,0,595,3,0,0,0,3,6,46,56,TRUE
349,1,1,0,3,1,8,6,387,114,0,0,0,114,6,944,954,TRUE
73,1,1,0,3,1,6,0,294,21,0,0,0,21,6,206,216,TRUE
60,1,1,0,3,1,6,0,291,16,0,2,0,18,6,174,184,TRUE
19,1,1,0,3,1,1,0,278,4,0,1,0,5,6,66,76,TRUE
59,1,1,0,3,1,5,0,289,16,0,0,0,16,6,168,178,TRUE
89,1,1,0,3,1,4,6,298,24,0,1,0,25,6,246,256,TRUE
11,1,1,0,3,1,1,2,276,3,0,0,0,3,6,46,56,TRUE
8,1,1,0,7,1,0,1,692,2,0,0,0,2,6,40,54,TRUE
105,1,1,0,5,1,6,0,474,33,0,0,0,33,6,294,304,TRUE
126,1,1,0,3,1,5,1,307,28,0,6,0,34,7,348,358,TRUE
32,1,1,0,3,1,3,0,282,9,0,0,0,9,7,103,113,TRUE
39,1,1,0,4,1,3,0,291,10,0,1,0,11,6,116,126,TRUE
110,1,1,0,3,1,6,0,305,27,0,5,0,32,6,300,310,TRUE
47,1,1,0,3,1,3,0,287,14,0,0,0,14,7,143,153,TRUE
100,1,1,0,3,1,7,0,301,25,0,3,0,28,6,272,282,TRUE
38,1,1,0,6,1,1,1,670,12,0,0,0,12,6,133,135,TRUE
44,1,1,0,3,1,5,2,286,12,0,1,0,13,6,130,140,TRUE
3,0,0,0,1,1,0,0,0,0,1,0,0,0,6,20,30,TRUE
388,1,1,0,6,1,17,2,776,118,0,0,0,118,7,1434,1086,TRUE
62,1,1,0,3,1,7,0,290,17,0,0,0,17,7,239,197,TRUE
234,1,1,0,5,1,7,1,665,72,0,1,0,73,10,626,640,TRUE
74,1,1,0,3,1,8,2,295,22,0,0,0,22,7,213,223,TRUE
93,1,1,0,5,1,6,0,334,27,0,0,0,27,6,360,273,TRUE
45,1,1,0,4,1,8,0,308,13,0,0,0,13,6,134,144,TRUE
50,1,1,0,3,1,3,0,287,10,0,4,0,14,7,192,170,TRUE
121,1,1,0,3,1,7,1,308,35,0,0,0,35,6,330,340,TRUE
28,1,1,0,3,1,3,0,280,7,0,0,0,7,6,88,98,TRUE
46,1,1,0,3,1,4,0,285,11,0,1,0,12,6,134,144,TRUE
49,1,1,0,4,1,3,0,346,10,0,4,0,14,6,142,152,TRUE
50,1,1,0,3,1,4,0,288,13,0,2,0,15,6,148,158,TRUE
30,1,1,0,3,1,2,0,281,7,0,1,0,8,6,94,104,TRUE
39,1,1,0,3,1,4,0,284,10,0,1,0,11,6,118,128,TRUE
45,1,1,0,3,1,2,0,285,12,0,0,0,12,6,132,142,TRUE
49,1,1,0,4,1,3,0,295,13,0,1,0,14,6,144,154,TRUE
33,1,1,0,3,1,3,0,282,4,0,5,0,9,6,102,112,TRUE
19,1,1,0,4,1,2,0,306,5,0,0,0,5,6,66,76,TRUE
68,1,1,0,4,1,6,0,344,18,0,1,0,19,6,192,202,TRUE
102,1,1,0,4,1,4,0,354,29,0,0,0,29,6,280,290,TRUE
65,1,1,0,3,1,5,0,292,19,0,0,0,19,6,186,196,TRUE
2,0,0,0,8,1,0,0,696,0,0,0,0,0,3,3,2,TRUE
8,1,1,0,7,1,0,0,836,2,0,0,0,2,9,30,68,TRUE
39,1,1,0,3,1,7,0,283,10,0,0,0,10,4,143,114,TRUE
35,1,1,0,3,1,5,0,283,10,0,0,0,10,2,2,12,TRUE
183,9,24,88,2,1,1,0,12,0,0,7,6,7,677,1210,1343,TRUE
23,0,0,0,7,1,2,11,0,0,0,0,2,0,62,115,134,TRUE
6,0,0,0,1,1,3,0,0,0,3,0,1,0,3,1,19,TRUE
6,0,0,0,1,1,1,0,0,0,3,0,1,0,2,1,3,TRUE
154,5,18,65,2,1,8,0,12,9,7,0,0,9,54,453,678,TRUE
572,19,152,75,2,1,7,0,12,9,10,0,0,9,70,3704,3810,TRUE
311,8,34,70,2,1,7,0,13,10,13,0,0,10,46,529,885,TRUE
24,1,1,89,2,1,0,0,3,3,10,0,3,3,29,217,254,TRUE
32,1,2,80,2,2,2,0,7,7,2,0,1,7,28,216,282,TRUE
849,6,39,83,2,1,5,0,74,29,1,1,0,30,48,595,1010,TRUE
39,1,2,61,2,1,2,14,171,9,2,0,0,9,26,223,299,TRUE
7,1,1,0,1,1,3,56,3,3,0,0,0,3,22,157,185,TRUE
1583,6,43,93,21,1,79,0,2842,65,10,1,2,66,346,6327,7000,TRUE
179,13,37,0,1,2,42,2,3,3,1,0,0,3,28,360,391,TRUE
178,2,7,76,2,1,20,0,11,11,8,0,0,11,18,163,339,FALSE
15,1,1,66,3,1,1,0,9,2,2,0,1,2,17,26,56,TRUE
6,1,1,0,1,2,1,0,2,2,0,0,0,2,12,46,25,TRUE
13,0,0,0,1,1,0,0,0,0,9,0,2,0,17,54,105,TRUE
6,1,1,100,4,1,1,0,10,1,0,0,1,1,4,2,3,TRUE
26,1,1,16,3,1,1,1,9,2,5,0,1,2,24,118,138,TRUE
19,1,1,25,4,1,1,0,11,2,3,0,1,2,21,112,122,TRUE
24,1,1,66,1,1,1,0,3,3,7,0,0,3,10,20,158,TRUE
46,1,1,0,3,1,2,0,286,12,0,1,0,13,6,136,146,TRUE
87,1,1,0,3,1,7,0,296,21,0,2,0,23,7,238,248,TRUE
32,1,1,0,3,1,3,0,282,9,0,0,0,9,6,100,110,TRUE
24,1,1,0,3,1,3,0,280,7,0,0,0,7,6,92,98,TRUE
68,1,1,0,3,1,1,0,295,22,0,0,0,22,6,198,208,TRUE
28,1,1,0,4,1,2,0,288,5,0,2,0,7,6,94,104,TRUE
28,1,1,0,4,1,3,0,320,6,0,1,0,7,6,86,96,TRUE
41,1,1,0,6,1,3,0,657,10,0,2,0,12,6,154,139,TRUE
2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,20,30,TRUE
2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,20,30,TRUE
51,1,1,0,6,1,2,1,674,16,0,0,0,16,6,199,168,TRUE
74,1,1,0,3,1,2,1,295,19,0,3,0,22,8,287,233,TRUE
71,1,1,0,5,1,3,0,463,22,0,0,0,22,6,202,212,TRUE
2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,20,30,TRUE
30,1,1,0,3,1,1,0,282,8,0,1,0,9,6,94,104,TRUE
32,1,1,0,4,1,2,0,305,10,0,0,0,10,6,131,117,TRUE
43,1,1,0,4,1,3,1,320,12,0,1,0,13,7,130,145,TRUE
11,1,1,0,4,1,1,0,286,3,0,0,0,3,6,44,54,TRUE
30,1,1,0,3,1,4,1,282,8,0,1,0,9,7,118,116,TRUE
32,1,1,0,3,1,2,0,282,9,0,0,0,9,8,133,121,TRUE
56,1,1,0,7,1,3,0,703,16,0,1,0,17,6,205,183,TRUE
97,1,1,0,5,1,11,0,469,27,0,1,0,28,6,268,278,TRUE
55,1,1,0,6,1,5,0,674,16,0,0,0,16,6,160,170,TRUE
160,1,1,0,7,1,7,0,572,49,0,0,0,49,7,436,446,TRUE
150,1,1,0,3,1,10,0,316,33,0,10,0,43,6,404,414,TRUE
5,0,0,0,1,1,0,0,0,0,2,0,1,0,7,30,39,TRUE
14,0,0,0,2,1,0,0,0,0,4,0,1,0,8,55,68,TRUE
95,1,1,0,3,1,3,0,302,27,0,2,0,29,7,266,276,TRUE
77,1,1,0,4,1,4,0,304,22,0,0,0,22,6,224,234,TRUE
189,1,1,0,5,1,9,1,649,53,0,4,0,57,10,520,530,TRUE
82,1,1,0,6,1,6,0,482,23,0,0,0,23,6,228,238,TRUE
105,1,1,0,6,1,9,1,690,32,0,0,0,32,7,418,321,TRUE
44,1,1,0,4,1,3,0,300,12,0,0,0,12,7,133,143,TRUE
65,1,1,0,5,1,4,0,612,20,0,0,0,20,6,186,196,TRUE
103,1,1,0,3,1,6,0,304,31,0,0,0,31,10,391,323,TRUE
32,1,1,0,5,1,4,0,601,9,0,0,0,9,7,127,120,TRUE
101,1,1,0,6,1,5,5,690,32,0,0,0,32,7,391,310,TRUE
23,1,1,0,3,1,2,0,279,6,0,0,0,6,7,76,86,TRUE
34,1,1,0,7,1,2,0,700,8,0,2,0,10,6,106,116,TRUE
96,1,1,0,3,1,4,0,302,29,0,0,0,29,6,268,278,TRUE
19,1,1,0,4,1,3,0,303,5,0,0,0,5,6,66,76,TRUE
61,1,1,0,3,1,6,1,289,14,0,2,0,16,7,174,184,TRUE
43,1,1,0,4,1,4,0,311,13,0,0,0,13,6,130,140,TRUE
97,1,1,0,4,1,4,0,415,28,0,0,0,28,6,268,278,TRUE
23,1,1,0,3,1,2,0,279,5,0,1,0,6,4,468,266,TRUE
295,1,1,100,2,1,7,0,175,0,0,175,115,175,44,560,749,TRUE
915,1,4,89,1,1,5,50,163,83,1,80,4,163,27,1728,1742,TRUE
130,4,10,59,2,1,7,0,11,8,4,0,0,8,40,273,443,TRUE
22,1,3,77,1,1,1,0,5,5,9,0,0,5,31,145,165,TRUE
118,3,10,72,1,1,5,1,9,9,5,0,3,9,47,381,416,TRUE
63,2,4,37,2,1,3,0,170,8,2,0,0,8,20,45,52,TRUE
70,1,2,90,1,1,6,0,11,1,0,10,1,11,17,1143,917,FALSE
3,1,1,0,1,1,1,1,8,1,0,0,0,1,7,3,5,FALSE
2,0,0,0,2,2,0,2,20,0,0,0,0,0,8,5,7,FALSE
18,1,1,25,5,1,2,0,39,4,1,0,0,4,1,0,0,FALSE
59,1,2,56,1,1,6,0,6,6,5,0,0,6,15,198,198,FALSE
184,1,4,96,1,1,16,0,32,0,0,32,3,32,1,0,0,FALSE
16,1,2,0,1,1,9,0,3,1,0,2,0,3,5,7,11,FALSE
45,2,7,0,1,1,20,0,5,0,0,5,0,5,32,184,165,FALSE
46,3,7,0,1,1,19,0,5,0,0,5,0,5,13,253,228,FALSE
13,1,1,0,1,1,1,1,11,11,0,0,0,11,28,395,566,FALSE
6,1,1,0,1,1,1,1,4,4,0,0,0,4,16,237,291,FALSE
4,1,1,0,1,1,1,1,2,2,0,0,0,2,5,13,13,FALSE
246,6,24,82,1,1,14,0,10,10,8,0,9,10,41,222,246,FALSE
3,1,1,0,1,1,1,3,1,1,0,0,0,1,12,33,39,FALSE
70,1,4,66,1,1,7,0,9,9,3,0,0,9,23,291,393,FALSE
70,1,4,66,1,1,7,0,9,9,3,0,0,9,10,61,162,FALSE
323,1,6,92,1,1,23,0,33,33,9,0,1,33,15,328,390,FALSE
235,2,10,88,1,1,18,1,24,24,10,0,1,24,23,188,200,FALSE
70,1,4,66,1,1,7,1,9,9,3,0,0,9,13,62,162,FALSE
22,1,1,0,2,1,4,0,11,2,0,0,0,2,7,2,46,FALSE
37,1,2,0,2,1,2,0,26,2,0,0,0,2,8,4,63,FALSE
96,1,4,66,1,1,6,0,12,12,4,0,0,12,31,775,853,FALSE
4,1,1,0,1,1,1,9,2,2,0,0,0,2,14,65,85,FALSE
3,1,1,0,1,1,1,3,1,1,0,0,0,1,12,74,79,FALSE
4,1,1,0,1,1,1,6,2,2,0,0,0,2,11,66,80,FALSE
85,2,5,66,1,1,6,0,9,9,5,0,0,9,3,4,118,FALSE
3,1,1,0,1,1,1,3,1,1,0,0,0,1,13,43,56,FALSE
3,1,1,0,1,1,1,2,1,1,0,0,0,1,7,13,13,FALSE
